i = 40,   Jzb = 381116.87237195 ,  Jz = 439798.01470391,  err = 0.90007439 
 i = 50,   Jzb = 247072.42679087 ,  Jz = 249207.13399732,  err = 0.72466713 
 i = 60,   Jzb = 238368.45695785 ,  Jz = 238883.34152643,  err = 0.71179141 
 i = 70,   Jzb = 234170.24918097 ,  Jz = 234539.36606667,  err = 0.70550022 
 i = 80,   Jzb = 230884.76656256 ,  Jz = 231185.01302840,  err = 0.70053834 
 i = 90,   Jzb = 228152.63793202 ,  Jz = 228406.09961877,  err = 0.69638587 
 i = 100,   Jzb = 225815.18002570 ,  Jz = 226034.24455084,  err = 0.69281400 
 Iter = 1,  obj = 209807.93116144  ,rankZ= 326 
 i = 10,   Jzb = 16948.70745330 ,  Jz = 19722.61309076,  err = 4.94905430 
 i = 20,   Jzb = 7608.06296545 ,  Jz = 7987.33917860,  err = 3.30957547 
 i = 30,   Jzb = 5234.33761467 ,  Jz = 5402.43869259,  err = 2.74161007 
 i = 40,   Jzb = 3963.04437017 ,  Jz = 4064.75353072,  err = 2.38284526 
 i = 50,   Jzb = 3142.55533742 ,  Jz = 3211.45095355,  err = 2.11965389 
 i = 60,   Jzb = 2566.67623104 ,  Jz = 2616.35871873,  err = 1.91373020 
 i = 70,   Jzb = 2141.61043869 ,  Jz = 2178.98097841,  err = 1.74649393 
 i = 80,   Jzb = 1816.55807445 ,  Jz = 1845.51127893,  err = 1.60714455 
 i = 90,   Jzb = 1561.36775989 ,  Jz = 1584.34503960,  err = 1.48885145 
 i = 100,   Jzb = 1356.63670270 ,  Jz = 1375.24045298,  err = 1.38687217 
 Iter = 2,  obj = 1503.33785195  ,rankZ= 227 
 i = 10,   Jzb = 1241.58688787 ,  Jz = 1258.85354215,  err = 1.62424012 
 i = 20,   Jzb = 1090.91276470 ,  Jz = 1104.59027720,  err = 1.52166547 
 i = 30,   Jzb = 967.49881849 ,  Jz = 978.83971950,  err = 1.43239418 
 i = 40,   Jzb = 864.05809658 ,  Jz = 873.64590413,  err = 1.35321488 
 i = 50,   Jzb = 776.32909497 ,  Jz = 784.49752210,  err = 1.28238727 
 i = 60,   Jzb = 701.39778129 ,  Jz = 708.39710389,  err = 1.21878110 
 i = 70,   Jzb = 636.82480004 ,  Jz = 642.85774945,  err = 1.16129789 
 i = 80,   Jzb = 580.85062685 ,  Jz = 586.10432021,  err = 1.10916344 
 i = 90,   Jzb = 532.26163716 ,  Jz = 536.83595536,  err = 1.06193682 
 i = 100,   Jzb = 489.66587573 ,  Jz = 493.66465464,  err = 1.01881443 
 Iter = 3,  obj = 667.19336445  ,rankZ= 139 
 i = 10,   Jzb = 454.71051920 ,  Jz = 458.28271392,  err = 1.00758864 
 i = 20,   Jzb = 421.37264795 ,  Jz = 424.52451825,  err = 0.97034534 
 i = 30,   Jzb = 391.74921057 ,  Jz = 394.54558691,  err = 0.93604573 
 i = 40,   Jzb = 365.56820892 ,  Jz = 368.04672737,  err = 0.90468365 
 i = 50,   Jzb = 342.42738291 ,  Jz = 344.61508811,  err = 0.87606025 
 i = 60,   Jzb = 321.67024247 ,  Jz = 323.65013357,  err = 0.84956337 
 i = 70,   Jzb = 303.04181356 ,  Jz = 304.81359816,  err = 0.82505241 
 i = 80,   Jzb = 286.37309456 ,  Jz = 287.95345467,  err = 0.80248311 
 i = 90,   Jzb = 271.53061652 ,  Jz = 272.93203441,  err = 0.78183003 
 i = 100,   Jzb = 258.23041793 ,  Jz = 259.49426173,  err = 0.76282678 
 Iter = 4,  obj = 416.05516397  ,rankZ= 68 
 i = 10,   Jzb = 249.66883684 ,  Jz = 250.87537400,  err = 0.74939677 
 i = 20,   Jzb = 238.43919424 ,  Jz = 239.50642482,  err = 0.73264114 
 i = 30,   Jzb = 228.46892358 ,  Jz = 229.43023985,  err = 0.71740649 
 i = 40,   Jzb = 219.57417166 ,  Jz = 220.41462669,  err = 0.70349779 
 i = 50,   Jzb = 211.60063984 ,  Jz = 212.37464624,  err = 0.69075735 
 i = 60,   Jzb = 204.35993442 ,  Jz = 205.04818888,  err = 0.67893256 
 i = 70,   Jzb = 197.75699888 ,  Jz = 198.38513090,  err = 0.66792562 
 i = 80,   Jzb = 191.83183689 ,  Jz = 192.40831560,  err = 0.65785585 
 i = 90,   Jzb = 186.25390788 ,  Jz = 186.80332589,  err = 0.64819982 
 i = 100,   Jzb = 181.01436087 ,  Jz = 181.52053896,  err = 0.63897955 
 Iter = 5,  obj = 323.44228399  ,rankZ= 32 
 i = 10,   Jzb = 177.82205147 ,  Jz = 178.34446494,  err = 0.63250612 
 i = 20,   Jzb = 172.93466590 ,  Jz = 173.40166232,  err = 0.62370697 
 i = 30,   Jzb = 168.46019292 ,  Jz = 168.89256257,  err = 0.61554242 
 i = 40,   Jzb = 164.30219672 ,  Jz = 164.70486855,  err = 0.60785846 
 i = 50,   Jzb = 160.42631011 ,  Jz = 160.80188805,  err = 0.60060879 
 i = 60,   Jzb = 156.80974048 ,  Jz = 157.16029751,  err = 0.59376590 
 i = 70,   Jzb = 153.43307028 ,  Jz = 153.76045620,  err = 0.58730662 
 i = 80,   Jzb = 150.27864162 ,  Jz = 150.58455852,  err = 0.58120934 
 i = 90,   Jzb = 147.33012661 ,  Jz = 147.61615254,  err = 0.57545342 
 i = 100,   Jzb = 144.57237941 ,  Jz = 144.83997808,  err = 0.57001910 
 Iter = 6,  obj = 200.29050887  ,rankZ= 31 
 i = 10,   Jzb = 146.68282150 ,  Jz = 147.02741260,  err = 0.56763921 
