2023-03-03 15:56:56,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 3,pro_acc= 0.53696498,pro_RI= 0.99073930,pro_Precisions= 0.54333333,pro_Recalls= NaN,pro_F1= 0.50268470 
  2023-03-03 15:56:56,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 3,Z_acc= 0.60311284,Z_RI= 0.99206226,Z_Precisions= 0.61000000,Z_Recalls= NaN,Z_F1= 0.56298557 
  2023-03-03 16:26:53,shiyan = 1, lambda = 3.70000000,h = 40, init_Z =300,rankZ= 24,pro_acc= 0.55252918,pro_RI= 0.99105058,pro_Precisions= 0.55833333,pro_Recalls= NaN,pro_F1= 0.51318254 
  2023-03-03 16:26:53,shiyan = 1, lambda = 3.70000000,h = 40, init_Z =300,rankZ= 24,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.59833333,Z_Recalls= NaN,Z_F1= 0.55603175 
  2023-03-03 16:57:20,shiyan = 1, lambda = 3.70000000,h = 50, init_Z =300,rankZ= 106,pro_acc= 0.57874016,pro_RI= 0.99148970,pro_Precisions= 0.57744108,pro_Recalls= NaN,pro_F1= 0.53975469 
  2023-03-03 16:57:20,shiyan = 1, lambda = 3.70000000,h = 50, init_Z =300,rankZ= 106,Z_acc= 0.59922179,Z_RI= 0.99198444,Z_Precisions= 0.60166667,Z_Recalls= NaN,Z_F1= 0.56093795 
  2023-03-03 17:28:50,shiyan = 1, lambda = 3.70000000,h = 60, init_Z =300,rankZ= 115,pro_acc= 0.58267717,pro_RI= 0.99156924,pro_Precisions= 0.58417508,pro_Recalls= NaN,pro_F1= 0.53892897 
  2023-03-03 17:28:50,shiyan = 1, lambda = 3.70000000,h = 60, init_Z =300,rankZ= 115,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.59166667,Z_Recalls= NaN,Z_F1= 0.54932540 
  2023-03-03 18:00:30,shiyan = 1, lambda = 3.70000000,h = 70, init_Z =300,rankZ= 116,pro_acc= 0.55642023,pro_RI= 0.99112840,pro_Precisions= 0.56166667,pro_Recalls= NaN,pro_F1= 0.50905311 
  2023-03-03 18:00:30,shiyan = 1, lambda = 3.70000000,h = 70, init_Z =300,rankZ= 116,Z_acc= 0.59922179,Z_RI= 0.99198444,Z_Precisions= 0.60166667,Z_Recalls= NaN,Z_F1= 0.55442063 
  2023-03-03 18:32:28,shiyan = 1, lambda = 3.70000000,h = 80, init_Z =300,rankZ= 120,pro_acc= 0.57086614,pro_RI= 0.99133063,pro_Precisions= 0.57744108,pro_Recalls= NaN,pro_F1= 0.51878526 
  2023-03-03 18:32:28,shiyan = 1, lambda = 3.70000000,h = 80, init_Z =300,rankZ= 120,Z_acc= 0.59922179,Z_RI= 0.99198444,Z_Precisions= 0.60500000,Z_Recalls= NaN,Z_F1= 0.55536652 
  2023-03-03 19:03:49,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 94,pro_acc= 0.54724409,pro_RI= 0.99085342,pro_Precisions= 0.54545455,pro_Recalls= NaN,pro_F1= 0.50191599 
  2023-03-03 19:03:49,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 94,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.59666667,Z_Recalls= NaN,Z_F1= 0.54670635 
  2023-03-03 19:56:38,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 81,pro_acc= 0.54863813,pro_RI= 0.99097276,pro_Precisions= 0.55666667,pro_Recalls= NaN,pro_F1= 0.50054113 
  2023-03-03 19:56:38,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =300,rankZ= 81,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.58833333,Z_Recalls= NaN,Z_F1= 0.53805700 
  2023-03-03 20:27:47,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =290,rankZ= 92,pro_acc= 0.50972763,pro_RI= 0.99019455,pro_Precisions= 0.51333333,pro_Recalls= NaN,pro_F1= 0.46044444 
  2023-03-03 20:27:47,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =290,rankZ= 92,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.58666667,Z_Recalls= NaN,Z_F1= 0.54204518 
  2023-03-03 20:59:00,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =280,rankZ= 90,pro_acc= 0.56420233,pro_RI= 0.99128405,pro_Precisions= 0.56833333,pro_Recalls= NaN,pro_F1= 0.52493074 
  2023-03-03 20:59:00,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =280,rankZ= 90,Z_acc= 0.56031128,Z_RI= 0.99120623,Z_Precisions= 0.57000000,Z_Recalls= NaN,Z_F1= 0.52776884 
  2023-03-03 21:30:08,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =270,rankZ= 73,pro_acc= 0.56809339,pro_RI= 0.99136187,pro_Precisions= 0.57666667,pro_Recalls= NaN,pro_F1= 0.53155528 
  2023-03-03 21:30:08,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =270,rankZ= 73,Z_acc= 0.59143969,Z_RI= 0.99182879,Z_Precisions= 0.59666667,Z_Recalls= NaN,Z_F1= 0.55142857 
  2023-03-03 22:01:12,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =260,rankZ= 93,pro_acc= 0.55252918,pro_RI= 0.99105058,pro_Precisions= 0.55333333,pro_Recalls= NaN,pro_F1= 0.51066667 
  2023-03-03 22:01:12,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =260,rankZ= 93,Z_acc= 0.58365759,Z_RI= 0.99167315,Z_Precisions= 0.59000000,Z_Recalls= NaN,Z_F1= 0.54842208 
  2023-03-03 22:32:03,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =250,rankZ= 52,pro_acc= 0.54085603,pro_RI= 0.99081712,pro_Precisions= 0.54333333,pro_Recalls= NaN,pro_F1= 0.49716811 
  2023-03-03 22:32:03,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =250,rankZ= 52,Z_acc= 0.56809339,Z_RI= 0.99136187,Z_Precisions= 0.57333333,Z_Recalls= NaN,Z_F1= 0.52834271 
  2023-03-03 23:02:54,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =240,rankZ= 92,pro_acc= 0.53149606,pro_RI= 0.99053527,pro_Precisions= 0.53703704,pro_Recalls= NaN,pro_F1= 0.49409171 
  2023-03-03 23:02:54,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =240,rankZ= 92,Z_acc= 0.56809339,Z_RI= 0.99136187,Z_Precisions= 0.57666667,Z_Recalls= NaN,Z_F1= 0.52364042 
  2023-03-03 23:33:46,shiyan = 1, lambda = 3.70000000,h = 30, init_Z =230,rankZ= 3,pro_acc= 0.51968504,pro_RI= 0.99029667,pro_Precisions= 0.52525253,pro_Recalls= NaN,pro_F1= 0.47159109 
