2018-08-02 22:03:24,shiyan = 1, lambda = 0.10000000,h = 20, rankZ= 49,pro_accuracy= 0.75609756,lrr_acc = 0.78048780 
  2018-08-02 22:03:59,shiyan = 1, lambda = 0.10000000,h = 25, rankZ= 59,pro_accuracy= 0.75609756,lrr_acc = 0.78048780 
  2018-08-02 22:04:18,shiyan = 1, lambda = 0.10000000,h = 30, rankZ= 46,pro_accuracy= 0.80487805,lrr_acc = 0.78048780 
  2018-08-02 22:04:36,shiyan = 1, lambda = 0.20000000,h = 20, rankZ= 44,pro_accuracy= 0.75609756,lrr_acc = 0.78048780 
  2018-08-02 22:04:55,shiyan = 1, lambda = 0.20000000,h = 25, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-02 22:05:14,shiyan = 1, lambda = 0.20000000,h = 30, rankZ= 44,pro_accuracy= 0.80487805,lrr_acc = 0.78048780 
  2018-08-02 22:05:31,shiyan = 1, lambda = 0.30000000,h = 20, rankZ= 35,pro_accuracy= 0.80487805,lrr_acc = 0.78048780 
  2018-08-02 22:05:49,shiyan = 1, lambda = 0.30000000,h = 25, rankZ= 36,pro_accuracy= 0.75609756,lrr_acc = 0.78048780 
  2018-08-02 22:06:08,shiyan = 1, lambda = 0.30000000,h = 30, rankZ= 36,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-02 22:06:26,shiyan = 1, lambda = 0.40000000,h = 20, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.73170732 
  2018-08-02 22:06:44,shiyan = 1, lambda = 0.40000000,h = 25, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.70731707 
  2018-08-02 22:07:03,shiyan = 1, lambda = 0.40000000,h = 30, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.70731707 
  2018-08-02 22:07:20,shiyan = 1, lambda = 0.50000000,h = 20, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.68292683 
  2018-08-02 22:07:38,shiyan = 1, lambda = 0.50000000,h = 25, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.68292683 
  2018-08-02 22:07:57,shiyan = 1, lambda = 0.50000000,h = 30, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.70731707 
  2018-08-02 22:08:13,shiyan = 1, lambda = 0.60000000,h = 20, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.70731707 
  2018-08-02 22:08:31,shiyan = 1, lambda = 0.60000000,h = 25, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.70731707 
  2018-08-02 22:08:49,shiyan = 1, lambda = 0.60000000,h = 30, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.70731707 
  2018-08-02 22:09:05,shiyan = 1, lambda = 0.70000000,h = 20, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.70731707 
  2018-08-02 22:09:23,shiyan = 1, lambda = 0.70000000,h = 25, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.70731707 
  2018-08-02 22:09:41,shiyan = 1, lambda = 0.70000000,h = 30, rankZ= 31,pro_accuracy= 0.78048780,lrr_acc = 0.65853659 
  2018-08-02 22:09:57,shiyan = 1, lambda = 0.80000000,h = 20, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.70731707 
  2018-08-02 22:10:15,shiyan = 1, lambda = 0.80000000,h = 25, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.70731707 
  2018-08-02 22:10:33,shiyan = 1, lambda = 0.80000000,h = 30, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.68292683 
  2018-08-02 22:10:50,shiyan = 1, lambda = 0.90000000,h = 20, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.70731707 
  2018-08-02 22:11:08,shiyan = 1, lambda = 0.90000000,h = 25, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.70731707 
  2018-08-02 22:11:26,shiyan = 1, lambda = 0.90000000,h = 30, rankZ= 31,pro_accuracy= 0.80487805,lrr_acc = 0.68292683 
  2018-08-02 22:11:43,shiyan = 1, lambda = 1.00000000,h = 20, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.68292683 
  2018-08-02 22:12:00,shiyan = 1, lambda = 1.00000000,h = 25, rankZ= 31,pro_accuracy= 0.73170732,lrr_acc = 0.65853659 
  2018-08-02 22:12:18,shiyan = 1, lambda = 1.00000000,h = 30, rankZ= 31,pro_accuracy= 0.75609756,lrr_acc = 0.68292683 
  2018-08-03 14:27:28,shiyan = 1, lambda = 0.10000000,h = 20, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:27:52,shiyan = 1, lambda = 0.10000000,h = 25, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:28:18,shiyan = 1, lambda = 0.10000000,h = 30, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:28:47,shiyan = 1, lambda = 0.10000000,h = 35, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:29:16,shiyan = 1, lambda = 0.10000000,h = 40, rankZ= 44,pro_accuracy= 0.75609756,lrr_acc = 0.78048780 
  2018-08-03 14:29:46,shiyan = 1, lambda = 0.10000000,h = 45, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:30:17,shiyan = 1, lambda = 0.10000000,h = 50, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
  2018-08-03 14:30:49,shiyan = 1, lambda = 0.10000000,h = 55, rankZ= 44,pro_accuracy= 0.78048780,lrr_acc = 0.78048780 
