2018-08-11 23:04:14,shiyan = 1, lambda = 1.20000000,h = 20, init_Z =200,rankZ= 200,pro_accuracy= 0.82101167,lrr_acc = 0.82101167 
  2018-08-11 23:19:31,shiyan = 1, lambda = 1.20000000,h = 40, init_Z =200,rankZ= 200,pro_accuracy= 0.81712062,lrr_acc = 0.82879377 
  2018-08-11 23:35:19,shiyan = 1, lambda = 1.20000000,h = 60, init_Z =200,rankZ= 200,pro_accuracy= 0.81712062,lrr_acc = 0.83268482 
  2018-08-11 23:52:01,shiyan = 1, lambda = 1.20000000,h = 80, init_Z =200,rankZ= 200,pro_accuracy= 0.82490272,lrr_acc = 0.83268482 
  2018-08-12 00:06:51,shiyan = 1, lambda = 1.40000000,h = 20, init_Z =200,rankZ= 200,pro_accuracy= 0.80933852,lrr_acc = 0.82490272 
  2018-08-12 00:22:07,shiyan = 1, lambda = 1.40000000,h = 40, init_Z =200,rankZ= 200,pro_accuracy= 0.82490272,lrr_acc = 0.83657588 
  2018-08-12 00:37:57,shiyan = 1, lambda = 1.40000000,h = 60, init_Z =200,rankZ= 200,pro_accuracy= 0.82101167,lrr_acc = 0.82490272 
  2018-08-12 00:54:36,shiyan = 1, lambda = 1.40000000,h = 80, init_Z =200,rankZ= 200,pro_accuracy= 0.81712062,lrr_acc = 0.81712062 
  2018-08-12 01:09:27,shiyan = 1, lambda = 1.60000000,h = 20, init_Z =200,rankZ= 200,pro_accuracy= 0.81322957,lrr_acc = 0.83268482 
  2018-08-12 01:24:40,shiyan = 1, lambda = 1.60000000,h = 40, init_Z =200,rankZ= 200,pro_accuracy= 0.82490272,lrr_acc = 0.82490272 
  2018-08-12 01:40:28,shiyan = 1, lambda = 1.60000000,h = 60, init_Z =200,rankZ= 200,pro_accuracy= 0.81712062,lrr_acc = 0.82879377 
  2018-08-12 01:57:08,shiyan = 1, lambda = 1.60000000,h = 80, init_Z =200,rankZ= 200,pro_accuracy= 0.82490272,lrr_acc = 0.84046693 
  2018-08-12 02:11:58,shiyan = 1, lambda = 1.80000000,h = 20, init_Z =200,rankZ= 125,pro_accuracy= 0.81712062,lrr_acc = 0.83657588 
  2018-08-12 02:27:06,shiyan = 1, lambda = 1.80000000,h = 40, init_Z =200,rankZ= 69,pro_accuracy= 0.82101167,lrr_acc = 0.82879377 
  2018-08-12 02:42:54,shiyan = 1, lambda = 1.80000000,h = 60, init_Z =200,rankZ= 159,pro_accuracy= 0.82490272,lrr_acc = 0.83268482 
  2018-08-12 02:59:28,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.83268482,lrr_acc = 0.84435798 
  2018-08-12 08:56:27,shiyan = 1, lambda = 1.80000000,h = 20, init_Z =200,rankZ= 133,pro_accuracy= 0.81712062,lrr_acc = 0.82490272 
  2018-08-12 09:12:38,shiyan = 1, lambda = 1.80000000,h = 30, init_Z =200,rankZ= 37,pro_accuracy= 0.82101167,lrr_acc = 0.81712062 
  2018-08-12 09:29:46,shiyan = 1, lambda = 1.80000000,h = 40, init_Z =200,rankZ= 69,pro_accuracy= 0.82490272,lrr_acc = 0.83268482 
  2018-08-12 09:46:54,shiyan = 1, lambda = 1.80000000,h = 50, init_Z =200,rankZ= 159,pro_accuracy= 0.82490272,lrr_acc = 0.82879377 
  2018-08-12 10:04:34,shiyan = 1, lambda = 1.80000000,h = 60, init_Z =200,rankZ= 152,pro_accuracy= 0.82879377,lrr_acc = 0.82879377 
  2018-08-12 10:21:56,shiyan = 1, lambda = 1.80000000,h = 70, init_Z =200,rankZ= 160,pro_accuracy= 0.82879377,lrr_acc = 0.83268482 
  2018-08-12 10:38:31,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82101167,lrr_acc = 0.83268482 
  2018-08-12 10:53:17,shiyan = 1, lambda = 1.90000000,h = 20, init_Z =200,rankZ= 92,pro_accuracy= 0.80933852,lrr_acc = 0.82490272 
  2018-08-12 11:08:14,shiyan = 1, lambda = 1.90000000,h = 30, init_Z =200,rankZ= 37,pro_accuracy= 0.82879377,lrr_acc = 0.80544747 
  2018-08-12 11:23:51,shiyan = 1, lambda = 1.90000000,h = 40, init_Z =200,rankZ= 95,pro_accuracy= 0.83268482,lrr_acc = 0.82879377 
  2018-08-12 11:39:44,shiyan = 1, lambda = 1.90000000,h = 50, init_Z =200,rankZ= 37,pro_accuracy= 0.82490272,lrr_acc = 0.81712062 
  2018-08-12 11:55:55,shiyan = 1, lambda = 1.90000000,h = 60, init_Z =200,rankZ= 138,pro_accuracy= 0.81712062,lrr_acc = 0.82490272 
  2018-08-12 12:12:35,shiyan = 1, lambda = 1.90000000,h = 70, init_Z =200,rankZ= 144,pro_accuracy= 0.83268482,lrr_acc = 0.82101167 
  2018-08-12 12:29:42,shiyan = 1, lambda = 1.90000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82879377,lrr_acc = 0.83268482 
  2018-08-12 12:44:53,shiyan = 1, lambda = 2.00000000,h = 20, init_Z =200,rankZ= 63,pro_accuracy= 0.81322957,lrr_acc = 0.83657588 
  2018-08-12 13:00:15,shiyan = 1, lambda = 2.00000000,h = 30, init_Z =200,rankZ= 98,pro_accuracy= 0.82101167,lrr_acc = 0.82101167 
  2018-08-12 13:15:51,shiyan = 1, lambda = 2.00000000,h = 40, init_Z =200,rankZ= 102,pro_accuracy= 0.82101167,lrr_acc = 0.83268482 
  2018-08-12 13:31:43,shiyan = 1, lambda = 2.00000000,h = 50, init_Z =200,rankZ= 107,pro_accuracy= 0.82101167,lrr_acc = 0.82490272 
  2018-08-12 13:47:56,shiyan = 1, lambda = 2.00000000,h = 60, init_Z =200,rankZ= 90,pro_accuracy= 0.82490272,lrr_acc = 0.82490272 
  2018-08-12 14:04:31,shiyan = 1, lambda = 2.00000000,h = 70, init_Z =200,rankZ= 37,pro_accuracy= 0.82490272,lrr_acc = 0.82101167 
  2018-08-12 14:21:35,shiyan = 1, lambda = 2.00000000,h = 80, init_Z =200,rankZ= 69,pro_accuracy= 0.82490272,lrr_acc = 0.82101167 
  -----------------------------------------------------------200--------------------------------------------------------------------2018-08-12 20:07:18,shiyan = 1, lambda = 1.80000000,h = 20, init_Z =200,rankZ= 131,pro_accuracy= 0.82101167,lrr_acc = 0.82879377 
  2018-08-12 20:23:37,shiyan = 1, lambda = 1.80000000,h = 30, init_Z =200,rankZ= 130,pro_accuracy= 0.82101167,lrr_acc = 0.82101167 
  2018-08-12 20:40:09,shiyan = 1, lambda = 1.80000000,h = 40, init_Z =200,rankZ= 88,pro_accuracy= 0.83268482,lrr_acc = 0.83268482 
  2018-08-12 20:57:00,shiyan = 1, lambda = 1.80000000,h = 50, init_Z =200,rankZ= 127,pro_accuracy= 0.83657588,lrr_acc = 0.83657588 
  2018-08-12 21:14:19,shiyan = 1, lambda = 1.80000000,h = 60, init_Z =200,rankZ= 143,pro_accuracy= 0.82101167,lrr_acc = 0.83268482 
  2018-08-12 21:32:00,shiyan = 1, lambda = 1.80000000,h = 70, init_Z =200,rankZ= 200,pro_accuracy= 0.82101167,lrr_acc = 0.82879377 
  2018-08-12 21:50:12,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 162,pro_accuracy= 0.82879377,lrr_acc = 0.83268482 
  2018-08-12 22:09:01,shiyan = 1, lambda = 1.80000000,h = 90, init_Z =200,rankZ= 145,pro_accuracy= 0.82490272,lrr_acc = 0.84046693 
  2018-08-12 22:28:33,shiyan = 1, lambda = 1.80000000,h = 100, init_Z =200,rankZ= 152,pro_accuracy= 0.82490272,lrr_acc = 0.83657588 
  2018-08-12 22:44:33,shiyan = 1, lambda = 1.90000000,h = 20, init_Z =200,rankZ= 102,pro_accuracy= 0.82101167,lrr_acc = 0.83657588 
  2018-08-12 23:00:04,shiyan = 1, lambda = 1.90000000,h = 30, init_Z =200,rankZ= 40,pro_accuracy= 0.82490272,lrr_acc = 0.81712062 
  2018-08-12 23:15:51,shiyan = 1, lambda = 1.90000000,h = 40, init_Z =200,rankZ= 145,pro_accuracy= 0.82490272,lrr_acc = 0.82490272 
  2018-08-12 23:31:55,shiyan = 1, lambda = 1.90000000,h = 50, init_Z =200,rankZ= 105,pro_accuracy= 0.82101167,lrr_acc = 0.83657588 
  2018-08-12 23:48:19,shiyan = 1, lambda = 1.90000000,h = 60, init_Z =200,rankZ= 176,pro_accuracy= 0.82101167,lrr_acc = 0.82879377 
  2018-08-13 00:05:11,shiyan = 1, lambda = 1.90000000,h = 70, init_Z =200,rankZ= 152,pro_accuracy= 0.82490272,lrr_acc = 0.82879377 
  2018-08-13 00:22:35,shiyan = 1, lambda = 1.90000000,h = 80, init_Z =200,rankZ= 69,pro_accuracy= 0.82101167,lrr_acc = 0.83268482 
  2018-08-13 00:40:34,shiyan = 1, lambda = 1.90000000,h = 90, init_Z =200,rankZ= 124,pro_accuracy= 0.83268482,lrr_acc = 0.83657588 
  2018-08-13 00:59:14,shiyan = 1, lambda = 1.90000000,h = 100, init_Z =200,rankZ= 130,pro_accuracy= 0.82879377,lrr_acc = 0.82490272 
------------------------------------------------------ z =20---------------------
  2018-08-13 10:30:35,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 54,pro_accuracy= 0.83657588,lrr_acc = 0.82101167 
  2018-08-13 15:53:48,shiyan = 1, lambda = 1.30000000,h = 20, init_Z =200,rankZ= 105,pro_accuracy= 0.82490272,lrr_acc = 0.82879377 
  2018-08-13 16:32:46,shiyan = 1, lambda = 1.30000000,h = 30, init_Z =200,rankZ= 94,pro_accuracy= 0.82879377,lrr_acc = 0.82490272 
  2018-08-13 17:10:17,shiyan = 1, lambda = 1.30000000,h = 40, init_Z =200,rankZ= 81,pro_accuracy= 0.82490272,lrr_acc = 0.83268482 
  2018-08-13 17:50:01,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82879377,lrr_acc = 0.83268482 
  2018-08-13 18:07:39,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82490272,lrr_acc = 0.82879377 
  2018-08-13 18:25:37,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 157,pro_accuracy= 0.82101167,lrr_acc = 0.84046693 
  2018-08-13 18:42:36,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82490272,lrr_acc = 0.84046693 
  2018-08-13 18:59:12,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82101167,lrr_acc = 0.83657588 
  2018-08-13 19:15:48,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.83268482,lrr_acc = 0.83268482 
  2018-08-13 19:32:21,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82101167,lrr_acc = 0.83657588 
  2018-08-13 19:48:58,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.83268482,lrr_acc = 0.82490272 
  2018-08-13 20:05:33,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82101167,lrr_acc = 0.83268482 
  2018-08-13 20:22:08,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 159,pro_accuracy= 0.82490272,lrr_acc = 0.83657588 
  2018-08-13 20:38:45,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82101167,lrr_acc = 0.83657588 
  2018-08-13 20:55:38,shiyan = 1, lambda = 1.80000000,h = 80, init_Z =200,rankZ= 160,pro_accuracy= 0.82490272,lrr_acc = 0.83657588 
